,Band name,Country of origin,Location,Status,Formed in,Years active,Genre,Lyrical themes,Current/Last label,Discography,Country code,Spotify ID
460,Raism,Greece,"Athens, Attica",Split-up,1996,"1994-1996 (as Diabolos Rising), 1996-?",Industrial Metal,"Misanthropy, Anti-social",Kron-H,"['The Very Best of Pain', 'Aesthetic Terrorism']",GR,
461,Raizhobium,Malaysia,Kuala Lumpur,Active,2002,2002-present,Thrash Metal,,Raizho DIY,[],MY,
462,Raizo,Chile,Santiago,Active,2015,2015-present,Heavy Metal,Rage/Love/ Personal livings/Deceptions/ Strenght,Unsigned/independent,"['Memorias', 'Sombrío']",CL,5oGERV251yzvuy8aRzgEzw
463,Raj,Italy,"Milan, Lombardy",Active,,,"Sludge, Stoner Metal",,Unsigned/independent,['Raj'],IT,
464,Raja Kapor,Indonesia,"Batam, Riau Islands",Active,,,Stoner Metal,,Unsigned/independent,"['Jangan Maen-Maen', 'Marwah']",ID,
465,Rajalla,Finland,"Helsinki, Uusimaa",Active,2011,2011-present,Thrash Metal,"People, Hatred, Reflective",Unsigned/independent,"['Demo', 'Demo 2', 'EVK', 'Diktaattori']",FI,5gUYwgSeJ6KSkfIYisB6fs
466,Rajam,Indonesia,"Madura, East Java",Unknown,2000,2000-?,Black Metal,"Total war, Nusantara mythologies (early); Indonesian Nationality (later)",Ludah Productions,"['Bheles Pateh', 'War Begin', 'Burning Antarctica', '350', 'The Jackals Regiment']",ID,
467,Rajas,Japan,"Kyoto, Kyoto Prefecture",Active,1980,"1980-1987, 2002-present",Melodic Heavy Metal,,AA Recordings,"['Battle of Metal', 'Rajas 1st', 'Turn It Up', 'Liar', 'Play the Game', ""What's"", 'Grand Metal Live - 5th Japan Heavy Metal Fantasy (I)', 'In Past Times -Best of Rajas-', 'Complete Best!', '遊行 ~Yougyou~', '2003 Live Tour 遊行 ~Yougyou~', 'Precious Time ~忘れてはいけない時間~', '""治外法権"" 35周年記念スペシャルライブ', 'Live Tour 2013 - Mother of the Earth', 'Mother of the Earth', 'Believe']",JP,
468,Rajasinga,Indonesia,"Bandung, West Java",Active,2004,2004-present,"Death Metal, Grindcore, indonesian death metal, indonesian hardcore, indonesian metal","Humour, Marijuana, Motorcycles, Life, Society, Politics",Blackandje Records,"['Killed by Rajasinga', 'Pandora', 'Nevergrind', 'Rajagnaruk', 'Masalah Kami di Negri Ini', 'III', 'Live/B-Side', 'Suara', 'Meribut']",ID,4f4dloIXhJ8C7HddMwx3IQ
469,Rajavana,Chile,Santiago,Active,2000,"1997-2000 (as Opresor), 2000-present","Death, Thrash Metal",Magical Realism,Unsigned/independent,"['Rajavana', 'Vol. I']",CL,4vY9sBdSAA7h1AtMBwPPiE
470,Rajavyöhyke,Finland,"Lahti, Päijät-Häme",Unknown,2003,2003-?,"Heavy, Thrash Metal","Emotions, Relationships",Unsigned/independent,"['Haavat', 'Demo 2006']",FI,
471,Rajfajh,Russia,St. Petersburg,Active,1991,1991-present,"Black Metal, Experimental, Noise, Ambient, Grindcore","Horror, Abstract themes, Nihilism, Despair, Anti-Christianity",Unsigned/independent,"['Спонтанность', 'Nastika', 'Pralaya', 'Ультраспектива', 'All That Is Human Is Alien', 'Tehnogen', 'Pain of Dark Shadow of Insanity: Activity Process 1991-2005', 'Семиотика', 'Zarazum', 'Культ Ктулху', 'Promo CD', 'Fatum', 'Ambient Collection', 'Black Metal Collection', 'Grindcore Collection', 'The True Nation', 'Cult of Cthulhu', 'Voices of Hell (Live 2013)', 'Before the Crucial Battle', 'The Retribution', 'Space of Death', 'Стадность Рефлекса']",,371NaP0jVigdKrSReBjdlu
472,Rajuilma,Finland,"Jyväskylä, Keski-Suomi",Split-up,,?-2008,"Heavy Metal, Hard Rock, finnish heavy metal","Sex, Music",Unsigned/independent,"['Naidaan', 'Rajuilma', 'Avain taivaisiin', 'Kova biisi', 'Piiskaa!', 'Synkkä arkipyhä']",FI,22pYJVnoTMkkDJ3EFuqP7a
473,Råkall,Sweden,"Linköping, Östergötland",Active,2021,"2021-2022, 2022-present",Depressive Black Metal,"Self-harm, Suicide",Unsigned/independent,"['Demo 21', 'Norra vi', 'Eisriese', 'Fredags melankoli', 'Unreleased', 'Vemod', 'Svenskt vemod (Hypothermia cover)', 'Andtäppt', 'Crimson Midwinter / Råkall / Vequalia', 'Pain', 'Djupa sår', 'Drowning in a Lake of Misery', 'Självmanipulation av syfteslösa tankar', 'Självmanipulation av syfteslösa tankar: torkat blod', 'Idunn', 'Djupa sår pt 2', 'Tusen sår']",SE,
474,Rakasasa,China,"Hefei, Anhui Province",Active,2009,2009-present,Thrash Metal,,Unsigned/independent,['Rakasasa'],CN,
475,Rakaz,Singapore,Singapore,Active,2013,2013-present,Death Metal,,Unsigned/independent,['Possession of the Underworld'],SG,
476,Rake,Finland,"Kuopio, Pohjois-Savo",Split-up,2000,2000-?,Black Metal,,Unsigned/independent,['Hungry Black Swamp'],FI,
477,Rake Sodomy,Australia,"Canberra, Australian Capital Territory",Unknown,2003,2003-?,Death Metal,"Gore, Rape, Violence, Sick Humour",Unsigned/independent,['Abortion Clinic'],AU,
478,Rake-Off,Italy,"Rome, Lazio",Active,2016,2016-present,"Thrash Metal, Crossover, italian hardcore",,Raked Rec.,"['In Twenty Sixteen', 'Feeding the Fake', ""Goin' Mental"", 'To Live in Fear', 'Push Me Down', 'Evil from the Depths', 'Observing Madness']",IT,0aEpcNJfjt65kQEhgWzbGC
479,Rakeniven,Chile,"Coquimbo, Coquimbo",Active,2001,2001-present,"Black, Thrash Metal","Satanism, Barbarism",La Maria del Tajo Promusica,['Engrosando Huestes Infernales'],CL,
480,Rakete Ostkreuz,Germany,Berlin,Active,,,"Sludge, Stoner Metal",Instrumental,Unsigned/independent,['Dunkles vom Fuzz'],DE,
481,Rakitiko,Argentina,"Adrogué, Buenos Aires",Active,2015,2015-present,"Black, Death Metal, black metal argentino",,Unsigned/independent,"['Sonido de cadaver', 'La profecía pagana', 'Nochesilenciosa', 'Al ataque']",AR,1s2StibLMtEMbn7qzVm7lw
482,Rakoth,Russia,"Obninsk, Kaluga Oblast (early); Moscow, Russia / Australia, Ireland (later)",Active,1997,"1996-1997 (as Bedevil), 1997-present","Epic Black, Doom, Folk Metal, russian folk metal, slavic folk metal, slavic metal","Literature, Fantasy, Cosmic",Soundage Productions,"['Dark Ages Chronicles', 'Tales of the Worlds Unreal', 'Superstatic Equilibrium', 'Planeshift', 'Jabberworks', 'Tiny Deaths', 'Ars Compilata']",,5jl4Z1o6gEHlpcfWMZV8S9
483,Raksasas,Germany,"Alfeld (Leine)/Hildesheim, Lower Saxony",Changed name,1998,"1998-2004, 2004-present (as Code of Honour)","Death, Groove Metal, Metalcore",,Beniihana Records,"['In Memory Of / Raksasas', 'Bleed for What It Is Worth']",DE,
484,Rakshasa,Japan,Tokyo,Split-up,2015,2015-2022,"Power Metal, japanese power metal","Fantasy, Supernatural, Magic, Emotions",Rubicon Music,"['Promo 2016', '六道羅刹', '憂愁録 - 月読', '百花創生']",JP,778Vh4TX6pcEgOxoYWoLYv
485,Rakshasa,International,Netherlands / Australia,Active,2010,2010-present,"Black Metal, Noise",,Wolfsvuur Records,"['Hour of Thy Voyager / Rakshasa', 'Absolute Black Eternal', 'Brotherhood of the Snake', 'RKSHS', 'Rakshasa / Nekrasov', 'Myth of the Invisible']",,
486,Raksu,Denmark,,Active,,,Black Metal,,Unsigned/independent,['Raksu'],DK,0IoDmaTg1m28xPdQHhKPgm
487,Rakün,United States,Massachusetts,Active,2004,2004-present,Black Metal,"Satanism, infanticide, garbage picking, hatred",Unsigned/independent,"['Clawed Out of Hell', 'Morbid Tails']",US,
488,Rakus,Malaysia,"Johor Bahru, Johor",Active,,,"Thrash, Death Metal",Social issues,Seth Records,['Buy War Bonds'],MY,
489,Rale,United States,"Durham, North Carolina",Active,,,Death Metal,,Unsigned/independent,"['2020 Demo', 'Psychic Devastation', 'Grave Emperor']",US,
490,Ralmador,Chile,"Iquique, Tarapacá",Active,2000,2000-present,"Black, Doom Metal","Melancholy, Hate, Atmosphere",Unsigned/independent,"['Desolated Desert', 'Ralmador / Mortis Suplicium', 'Inspiration Theater', 'Hijos del mal', 'Silencio']",CL,
491,Ralph,United States,"Baltimore, Maryland",Active,2012,2012-present,"Thrash Metal, Crossover",,Lost Apparitions Records,"['Ralph / Universal Remonster', 'Master of Nuggets']",US,
492,Ram,Sweden,"Gothenburg, Västra Götaland",Active,1999,1999-present,Heavy Metal,"Metal, Death, Apocalypse, Occultism",Metal Blade Records,"['Sudden Impact', 'Forced Entry', ""The Devil's Pathway / Sea of Skulls"", 'New Age of Iron Vol. 1 - Teutonic-Swedish Alliance', 'I Pounding Metal Fest', 'Lightbringer', 'Under the Scythe', 'New Wave of Swedish Heavy Metal', 'Death', 'Under Command', 'Svbversvm', 'Rod', 'The Throne Within']",SE,
493,Ram,United Kingdom,"East Sussex, England",Split-up,,,Heavy Metal,,Unsigned/independent,['Ram'],GB,
494,Ram-Page,Russia,"Noginsk, Moscow Oblast",Active,2010,2010-present,"Blackened Thrash Metal (early); Death, Thrash Metal (later)",,Metal Scrap Records,"['The Keeper of Time', 'Blooming Rust', 'The Depths of Rage', 'The Retribution', 'The Grave of Seven Billion']",,3crHQLE1nUT3Tvrfda9iTY
495,Ram-Zet,Norway,"Hamar, Innlandet",Active,1998,1998-present,"Avant-garde Black, Gothic Metal, avant-garde black metal, avant-garde metal, norwegian metal","Insanity, Loneliness, Depression",Ascendance Records,"['Pure Therapy', 'Escape', 'Intra', 'Neutralized', 'Freaks in Wonderland']",NO,41x3tK4pmcp109A09rYtxj
496,Ramagarhh,Russia,Moscow,Active,2002,2002-present,"Death, Black Metal",,Unsigned/independent,"['Ramagarhh', 'Madness of My Creature']",,
497,Ramage Inc.,United Kingdom,"Edinburgh, Scotland",Active,2004,2004-present,"Atmospheric, Progressive Metal, Rock",,Layered Reality Productions,"['Universe', 'Screaming Melodies', 'Live@ProgPower Europe', 'Feel the Waves', 'Earth Shaker', 'Under the Skin', 'A Quiet Earth']",GB,
498,Raman Gifta,France,"Manosque, Provence-Alpes-Côte d'Azur",Split-up,2003,2003-?,"Death, Doom Metal",Indian Culture,Unsigned/independent,['Sun Dance'],FR,
499,Ramapithecus,United States,Idaho,Active,2019,2019-present,Raw Black Metal,"Evolution, Atheism, Depression",Unsigned/independent,"['Ape Like Ways', 'Black Lachrymose', 'Under the Sod', 'We Are Apes', 'M\u200b.\u200bG\u200b.\u200bR\u200b.\u200bC\u200b.\u200bA', 'The Druid II', 'Ape Skull', 'Simeon Selection', 'Survival of the Fittest', 'Enslave the Cross', 'Hallucinations']",US,6IVD5nDGHJ1TiuCOXMa0H2
500,Ramayana,Sweden,"Aneby, Jönköping",Active,2009,2009-present,"Death, Thrash Metal",,Unsigned/independent,['Ramayana'],SE,
501,Ramayana,Czechia,"Hradec Králové, Hradec Králové Region",Split-up,2006,2006-2011,"Heavy Metal, Hard Rock",,Unsigned/independent,"['Ramayana', 'Vzdálený svět']",,
502,Rambler,Argentina,Buenos Aires,Active,2000,2000-present,Heavy Metal,,Unsigned/independent,"['Rambler', 'Palabra de honor', 'En contra', '2001-2008 compilación', 'Cachofest compilado', 'Puños adelante', 'Sin agallas no hay gloria - Compilado under Argentino']",AR,
503,Rambo Hates Rainbows,United States,"Henderson, Kentucky",On hold,2011,2011-2016,"Black, Sludge, Doom Metal, Noisecore, Electronic",,NOG Records,"['Demo 2013', 'We Live for This EP', 'Friendship Grind', 'Doom Chronicles', 'RHR Jam Session: Black Metal', 'Dental Work / Rambo Hates Rainbows', 'House Show 5\u200b/\u200b3\u200b/\u200b2014', 'Rambo Hates Rainbows / Tape Monster', 'RHR Live Session Vol. 1']",US,
504,Rambokk,Norway,"Bærum, Viken",Split-up,2003,2003-2006,Thrash Metal,Aggression,Unsigned/independent,"[""Demo '06""]",NO,
505,Rambomesser,Germany,"Ulm, Baden-Württemberg",Active,2015,2015-present,"Heavy, Groove, Thrash Metal",,Unsigned/independent,"['Rambomesser', 'Krawall am Kiosk']",DE,2UkpzCoNXEPLu6vuomLbcQ
506,Rambuk,Denmark,"Copenhagen, Hovedstaden",Active,,,"Thrash, Death Metal",,Bukkebruse Records,"['Beneath the Corpses', 'Beneath the Corpses', '23 & 1', 'Icarus Flight', 'Death of the Chosen', 'Chains']",DK,7Fc6WX3Cvdv6XFXv9HchdY
507,Ramchat,Slovakia,"Martin, Žilina",Active,2013,2013-present,"Black, Pagan Metal, czsk black metal, slovak metal","Slavic Gods and Mythology, Paganism, Anti-christianity, Heritage",Unsigned/independent,"['Bes', 'Mor Ho!', 'Karpaty', 'Bes / Karpaty', 'Atrana', 'Nepočaria!', 'Jastrab', 'Rúbali, sekali!', 'Neodpúšťam!', 'Lož a žlč', 'Znelo lesom', 'Krútňava', 'Tryzny a tmy']",SK,7lmpom4dWMthrTnPYH5K8i
508,The RamDo Connection,Germany,Bremen,Active,2005,2005-present,"Heavy, Groove Metal",,Unsigned/independent,['Demo 1 Reloaded'],DE,
509,Rame,Russia,"Krasnodar, Krasnodar Krai (early); Krasnodar / Zaporizhia, Zaporizhia Oblast, Ukraine (later)",Active,2017,2017-present,Black Metal,,Unsigned/independent,"['Other Side', 'Motherwhore', 'The Ritual of Soul Burning', ""Nav' the Everlasting"", 'Chants to Maim Again', 'XIII: The Devil of Death by Dusk', 'Odin in Metropolis']",,
510,Ramera,Colombia,Bogota,Active,2019,2019-present,"Thrash Metal, Hardcore","War, Witches, Horror movies",Ossuary Records,"['Reign of Doom (Forbidden Realm)', 'Comandos de guerra FT. Primer regimen', 'Iglesia Ramera', 'Anarquía y destrucción', 'Aquelarre']",CO,
511,Ramesses,United Kingdom,"Wimborne Minster, Dorset, England",Split-up,2003,"2003-2013, 2016-2021","Sludge, Doom, Death Metal, black sludge, drone metal, sludge metal, uk doom metal","Occultism, Misanthropy, Drugs, Horror",Ritual Productions,"['Promo 2003', 'Negative Reaction / Ramesses', 'Ramesses', 'The Tomb', 'We Will Lead You to Glorious Times', 'Misanthropic Alchemy', 'Unearthly Trance / Ramesses', 'Baptism of the Walking Dead', 'Take the Curse', 'Possessed by the Rise of Magik', 'Chrome Pineal']",GB,0lfB1kYrukx9V0TxZ242sw
512,Ramgar,Mexico,"Guadalupe Victoria, Durango",Changed name,2010,"2010-2016, 2016-present (as Wild Murder)","Melodic Thrash Metal, Metalcore",Instrumental (early),Unsigned/independent,"['The World Fell', 'The Beginning of the Storm', 'Iron World']",MX,
513,Ramhorn,Greece,"Patras, Western Greece",Active,2002,2002-present,Doom Metal,"Philosophy, Life, Love",Deçtro,"['Crystal Vanity', 'Damaged Equilibrium', 'Lykophos']",GR,
514,Rami,Japan,,Active,2016,2016-present,"Heavy, Power Metal","Fantasy, Love, Emotions",Across Music,"['Aspiration', 'Aspiration Tour 2016 ~Live at Duo Music Exchange~', 'Reloaded', 'Reloaded Tour Vol.1 -Live at Unit-']",JP,2ED2DgMghoQr9JNXULWcUz
515,Rami the Requiem,Japan,,Active,2020,2020-present,"Heavy, Power Metal",,Metalose Enemy,"['Requiem', 'Serial Killer', '暁闇慟哭']",JP,
516,Ramihrdus,United States,Wisconsin,Active,2012,2012-present,"Atmospheric Black Metal, Ambient, ambient black metal, atmospheric black metal","Nature, Emotions, Afterlife",Anthrazit Records,"['Eternity', 'Into the Void', 'Haustið, trúarturninn', 'Solitude', 'Springtime Depression', 'Dagorlad', 'Ramihrdus / Decarabia', 'Scars of a Stagnant Breeze', ""Midsummer's Twilight"", 'Crepuscular Chasms', 'Flames of a Forgotten Past', 'Two Solaced the Soils', 'Slaughter the Angels', 'The Sorrow of the Evergreens']",US,6ens4vZ6sL8RZ9ibXHr1M5
517,Ramirik,Colombia,"Cali, Valle del Cauca",Active,2018,2018-present,"Atmospheric, Melodic Black Metal",,Unsigned/independent,"['Instability', 'Ramirik / Helenes', 'Olvidados', 'For Once', 'Praefinitum']",CO,
518,Ramit,United States,"Los Angeles, California",Active,,,"Heavy, Speed Metal",,Unsigned/independent,['Let It Ram'],US,
519,Ramius,United States,"Boston, Massachusetts",Active,2011,2011-present,"Black, Death Metal",,Unsigned/independent,['Chaos Reigns'],US,
520,Ramlord,United States,"Dover, New Hampshire",On hold,2011,2011-2015,"Crust Punk, Black Metal, blackened crust","Depression, Darkness, Suicide",Broken Limbs Recordings,"['Ramlord / Condensed Flesh', 'Stench of Fallacy', 'Cara Neir / Ramlord', 'Crippled Minds, Sundered Wisdom', 'Ramlord / Welkin Dusk', 'Krieg / Ramlord', 'Ramlord / Nuclear Devastation', 'Ramlord', 'Sea of Bones / Ramlord']",US,2zzMoOSEaDseSxtyFwTqNR
521,Rammer,Canada,"Toronto, Ontario",Split-up,1998,1998-2008,"Thrash, Death Metal","Killing, Destroying, Violence",Unsigned/independent,"['Krusher', 'Incinerator and Krusher', 'Incinerator', 'Suffer', 'Incinerator', 'Choke on This Shit', 'S.T.R.E.E.T.S. / Rammer', 'Cancer', 'Steel Funeral EP', ""Speed n' Spikes Vol. IV"", 'Schiz 39', 'Siege of Madness']",CA,
522,Ramming Speed,United States,"Boston, Massachusetts (early); Richmond, Virginia (later)",Active,2005,"2005-2007 (as Despotic Robot), 2007-present","Thrash Metal, Crossover","Politics, Humour, Life",Prosthetic Records,"['Full Speed Ahead', 'Brainwreck', 'Always Disgusted, Never Surprised', '5 Years of Pain, Failure and Heartburn', 'Ramming Speed / A.N.S.', '9 Song Digital Comp', 'Doomed to Destroy, Destined to Die', ""Don't Let This Stay Here"", 'No Epitaphs']",US,
523,Rammish Succus,China,"Qingdao, Shandong Province",Active,2003,2003-present,Goregrind,"Porn, Gore",Limbogrind Productions,"['Rammish Succus', 'Slaughter of Love in Hogpen']",CN,
524,Rammpage,United States,"Fort Myers, Florida",Split-up,1984,"1984-?, 1993","Heavy Metal, Hard Rock",,Unsigned/independent,['Rammpage Debut EP'],US,
525,Rammwurst,Germany,Hamburg,Active,2002,2002-present,"Black, Death Metal","Sausages, Comedy, Nonsense",Klangschmiede Rammwurst,"['Wurst Metal', 'Trüffelschwein']",DE,
526,Ramón,Colombia,"Medellín, Antioquia",Active,2006,"2006-2012, 2014-present","Black, Thrash Metal","Spiritual Transcendence, Anti-system, War",Unsigned/independent,"['Libre albedrío', 'Contundente final', 'Muerte psicológica en marcha / Resurrección maldita de los falsos egos', 'Resurrección maldita de los falsos egos']",CO,
527,Ramon Zarate,Belgium,"Liège, Liège",Split-up,2006,2006-2014,Stoner Metal,,Unsigned/independent,"['Ramon Zarate', 'Oyster']",BE,
528,Ramp,Portugal,"Seixal, Setúbal",Active,1989,1989-present,"Heavy, Thrash Metal (early); Groove, Thrash Metal (later), portuguese metal",Society,Rastilho Records,"['The Last Child', 'Thoughts', 'Hit Parade - Mini Cassette', 'Intersection', 'Black Tie', 'Evolution, Devolution, Revolution', 'Hallelujah', 'Old Times', 'Ramp...Live', 'Nude', 'Alone', 'Planet Earth', 'Visions', 'XXV 1988-2013', 'Insidiously']",PT,0DwDSUm4Hgn60CIaAxrWQB
529,Rampage,United States,"Wheeling, West Virginia",Split-up,1989,"1988-1989 (as Saint's Dominion), 1989-1991, 1991-1994, 1994-1996, 2012-2014",Heavy Metal,"Revenge, Violence, Fantasy, Love, Death, Heavy Metal",Unsigned/independent,['Into the Silence'],US,
530,Rampage,Australia,"Wollongong, New South Wales",Split-up,2005,2005-?,Thrash Metal,,Unsigned/independent,"['Demo MMIX', 'The Rampage Begins...']",AU,
531,Rampage,Brazil,"São Sebastião do Paraíso, Minas Gerais",Active,,,Thrash Metal,,Unsigned/independent,['Another Fate'],BR,
532,Rampage,United States,"Anoka, Minnesota",Split-up,2008,2008-?,Thrash Metal,,Unsigned/independent,['Rampage'],US,1EiLTtIILyI6CCyEMUZHEa
533,Rampage,United States,"Augusta, Georgia",On hold,1989,"1989-1990, 1995-present",Various,,Unsung Heroes Records,"['Satanic Symphonies', 'Misogyny, Thy Name Is Woman', 'This End Up', 'Fucked / Doom Metal', ""Cummin' Atcha Live"", 'Bellum Infinitum', 'Apocalyptic Raids 2001 C.E.', 'New World Blasphemy', 'Monolith to an Abandoned Past', 'Displeasures of the Flesh', 'Ticket to Hell/Rampage', 'Crimson Frost', 'Vonthology', 'Twelve Inches of Blasphemy', 'Bellum Aeternum', 'This End Down - Demos and Rarities']",US,
534,Rampage,Australia,"Melbourne, Victoria",Split-up,1985,1985-1988,"Progressive Speed, Thrash Metal",,Quasi Productions,"['Acid Storm', 'Rampage', 'Veil of Mourn']",AU,73hJ4lPzFKbsvSeLdIlZX9
535,Rampage,United States,"Chicago, Illinois",Changed name,1982,"1982-?, ?-1986 (as Vice), 1986-? (as Ravage)",Heavy Metal,,Unsigned/independent,[],US,
536,Rampage,United States,"San Diego, California",Split-up,,,Heavy Metal,,Unsigned/independent,[],US,
537,Rampage,Canada,"Toronto, Ontario",Split-up,,,Heavy Metal,,Unsigned/independent,"['Fear Inside My Head', 'The Arrival', ""Reagan's Dream""]",CA,
538,Rampage,Austria,Vienna,Split-up,1994,1994-?,Death Metal,,Demonware Records,"['The Burden of Melancholy Gravity', 'In a Cryptic Dream']",AT,
539,Rampage,Germany,"Göppingen, Baden-Württemberg",Split-up,2006,2006-?,"Death, Thrash Metal",,Unsigned/independent,['Demo 2007'],DE,
540,Rampage,Germany,Hamburg,Split-up,1980,1980-1985,Heavy Metal,"Life, Relationships, Dreams",Hafenklang Records,"['Victims of Rock', 'Victims of Rock', 'Love Lights Up the Night']",DE,
541,Rampage,Indonesia,"Rengasdengklok, Karawang, West Java",Active,2011,2011-present,Technical Death Metal,,Unsigned/independent,['Endless Perplexity - Promo 2016'],ID,
542,Rampage,France,"Villabé, Île-de-France",Split-up,2004,2004-2007,"Thrash Metal with Groove, Hardcore influences",,Carniceria,"['Guts-Up Self Service', 'Rampage']",FR,1EiLTtIILyI6CCyEMUZHEa
543,Rampage,Germany,"Schleswig, Schleswig-Holstein",Split-up,2009,2009-2015,"Heavy, Groove Metal",,Unsigned/independent,['The Higher the Wall the Harder the Fall'],DE,
544,Rampancy,Canada,"London, Ontario",Active,2016,"2009-2016 (as Anti-Freeze), 2016-present","Black, Death Metal, Grindcore, goregrind","Anarchism, Anti-fascism",Unsigned/independent,"['Noma / Rampancy', 'Rampancy / Ancient Stone', 'The Sublime Conquest of Nothing', 'Holy Ground Demo Session', 'Interstellar Wormhole', 'Aftermath', 'Consolidating Chaos', 'Ecstasy and Death', 'Through Trauma', 'Proclamation', 'Coming Insurrection', 'Above the Tyrants']",CA,23Ek0fH4lmeck09d7SrVTP
545,Rampancy,Taiwan,Taipei,Active,2004,2004-present,"Death Metal, Goregrind","Hatred, Gore, Fun",Rottenpyosis Records,"[""I Don't Wanna Eat"", 'Rampancy / Granulocytic Blastoma / Bowel Stew', 'Behind the Mask... the Massacre', 'The Contradiction Between Love and Hatred']",,
546,Rampant,United Kingdom,"London, England",Active,1980,"1980-1981, 2019-present",NWOBHM (early); Heavy Metal (later),,No Remorse Records,['Phantom Riders'],GB,
547,Rampart,Bulgaria,Sofia,Active,2006,2006-present,"Heavy Metal, bulgarian metal, melodic power metal","War, Social control",Sleaszy Rider Records,"['Warriors', 'Voice of the Wilderness', 'A Tale to Cold', 'A Tale to Cold', 'War Behest', 'Пропаст', 'Завера', 'Добрият съвет - Епизод Cover', 'The Metal Code', 'Codex Metalum', 'WWII: Memories for the Future']",BG,7HkeWkfao4aU2YwTAorqvf
548,Rampent,United Kingdom,,Split-up,,,"NWOBHM, Heavy Metal",,Unsigned/independent,['Back Street Walker'],GB,
549,Ramprasad,United States,"Portland, Oregon",Active,2016,2016-present,"Atmospheric Sludge Metal, Hardcore, atmospheric sludge",,ANIMA Recordings,"['Ruinenlust', 'Tsuris']",US,23TExoudqL0B3ELG88arcS
550,Ramrod,United States,"Rochester, New York",Split-up,1992,1992-1994,Power Metal,,Unsigned/independent,['Promotional Demo 1994'],US,
551,Ramses,Hungary,"Szerencs, Borsod-Abaúj-Zemplén",Split-up,1986,1986-?,"Heavy, Power Metal",,Unsigned/independent,['Heavy Metal (Robbanásveszély 2)'],HU,
552,Ramses,Mexico,Mexico City,Active,1980,"1980-1982 (as Ramsess), 1983-1996, 2013-present","Heavy Metal, Speed, Power, Thrash Metal","War, Egyptian mythology",Discos y Cintas Denver,"['Apocalipsis', 'Escuadrón metálico (Proyecto uno)', 'Ramses', '!Vamos por ti!', 'Guerreros del metal', 'Escuadrón metálico (Proyecto tres)', 'Power Metal', 'Pon tu cerebro a remojar', 'Delirio de desastre', 'Delirio de desastre / Pon tu cerebro a remojar']",MX,
553,Ramses,Belgium,"Affligem/Aalst, East Flanders",Active,1990,"1990-1998, 2020-present",Heavy Metal,Ancient Egypt,Unsigned/independent,"['Ramses', 'Faith in Rebirth', 'Secrets', 'The Secrets of Faith in Rebirth']",BE,
554,Ramset,Argentina,"Santa Fe, Santa Fe",Unknown,1998,1998-?,"Heavy, Power Metal",,Kodigo Rojo,"['Alma solitaria', 'Demo 2005', 'De luz y tinieblas']",AR,
555,Ramskull,Canada,"Winnipeg, Manitoba",Active,,,Progressive Death Metal,,Unsigned/independent,['Ramskull'],CA,47encrlXPNMnnFMTUEsXCs
556,Ramtin Aynie,United States,"Corona, California",Active,,,"Progressive Heavy, Groove Metal",Instrumental,Unsigned/independent,['Judgement Day'],US,
557,Ramzes,Poland,"Czerniejewo, Greater Poland",Split-up,1999,1999-?,Gothic Metal,"Society, Emotions",Unsigned/independent,"['Recycling', '...CDN']",PL,
558,Ran,United Kingdom,"London, England",Active,,,"Industrial Groove, Death Metal",,Unsigned/independent,['Neon City Sunrise'],GB,
559,RÁN,International,"Reykjavík, Iceland / The Netherlands",Active,2008,2008-present,"Black, Thrash Metal","Chaos, War, Hell",Unsigned/independent,"['Thrash Black Test Session', 'Doomsday Eve', 'Rock to Hell', 'Rock to Hell EP', 'Live at PopEI', 'Demonstorm', 'The Antichristian Symphonies', 'Remnants', 'Sólin Deyr', 'Rock to Hell']",,
560,Ran-ja,Japan,"Nagoya, Aichi Prefecture",Split-up,,,Heavy Metal,,Unsigned/independent,['Japanesque Heavy Metal'],JP,
561,Rana,Slovakia,"Bratislava, Bratislava",Active,2014,2014-present,"Post-Metal, slovak metal",,Unsigned/independent,"['Demo', 'Nesprávne otázky']",SK,18rPjJiFzXoJziz8H33WMs
562,Rană,Germany,"Kassel, Hesse / Hanover, Lower Saxony / Hamburg / Münster, North Rhine-Westphalia",Active,,,"Black, Post-Metal, Crust",,Unsigned/independent,['Armament'],DE,
563,Ranahmassa,International,Chile / United States,Active,2019,2019-present,Groove Metal,,Unsigned/independent,['Overlords'],,5oEXZbWIhXNYL9KWMoCbi0
564,Ranber Jack,Japan,,Unknown,2001,2001-?,Heavy Metal,,Unsigned/independent,['Ranber Jack'],JP,
565,Rance,France,"Paris, Île-de-France",Active,,,"Atmospheric, Raw Black Metal",,Unsigned/independent,"['Rance', 'II', 'III']",FR,
566,Rance,France,"Toulon, Provence-Alpes-Côte d'Azur",Active,2014,2014-present,Black Metal,,Unsigned/independent,['Gamycyn / Rance'],FR,
567,Ranch Destroyer,Belarus,Minsk,Active,2018,2018-present,"Stoner, Sludge, Southern Metal","Occultism, Grotesque fantasy, Society",Unsigned/independent,"['The Harvest', 'Trashpapers', 'Cow Cinema']",BY,
568,Rancid,Netherlands,"Galder, North Brabant",Split-up,1984,"?-1984 (as Highway), 1984-?",Heavy Metal,,Unsigned/independent,[],NL,
